,ID,Species,Owner,Country.of.Origin,Farm.Name,Company,Region,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Total.Cup.Points,Moisture,Color,Certification.Body,altitude_mean_meters,ClusterAgg,ClusterKmeans
789,790,Arabica,rosa aurora falcon fernandez,Mexico,bola de oro,,coatepec,AMECAFE,2012,"July 26th, 2012",ROSA AURORA FALCON FERNANDEZ,Typica,Washed / Wet,7.67,7.5,7.25,7.58,7.42,7.33,10.0,10.0,10.0,82.08,0.11,Green,AMECAFE,1250.0,10,6
790,791,Arabica,royal base corporation,Vietnam,"apollo co., ltd.",royal base corporation,don duong,Specialty Coffee Association,2012,"July 23rd, 2012",Royal Base Corporation,Other,Natural / Dry,7.67,8.0,7.17,7.08,7.67,7.08,10.0,10.0,10.0,82.08,0.12,Green,Specialty Coffee Association,1040.0,10,6
791,792,Arabica,sergio de la vequia bernardi,Mexico,tomatlancillo,,veracruz,AMECAFE,2012,"July 11th, 2012",SERGIO DE LA VEQUIA BERNARDI,Typica,Washed / Wet,7.58,7.42,7.25,7.75,7.33,7.42,10.0,10.0,10.0,82.08,0.11,Green,AMECAFE,1250.0,10,6
792,793,Arabica,kona pacific farmers cooperative,United States (Hawaii),,cqi,kona,Specialty Coffee Association,2012,"February 23rd, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Washed / Wet,7.33,7.5,7.33,7.58,7.08,7.83,10.0,10.0,10.0,82.08,0.1,Green,Specialty Coffee Association,0.0,4,6
793,794,Arabica,carcafe ltda ci,Colombia,,,cauca,Almacafé,11-Jan,"April 18th, 2011",CARCAFE LTDA CI,Other,Not Specified,7.67,7.42,7.67,7.33,7.25,7.58,10.0,10.0,10.0,82.08,0.08,,Almacafé,1600.0,4,6
794,795,Arabica,bismarck castro,Honduras,las moras,cigrah s.a de c.v,el paraíso,Instituto Hondureño del Café,2017,"June 1st, 2017",Bismarck Castro,Caturra,Washed / Wet,7.5,7.5,7.17,7.5,7.5,7.42,10.0,10.0,10.0,82.0,0.12,Green,Instituto Hondureño del Café,1600.0,4,6
795,796,Arabica,bismarck castro,Honduras,las moras,cigrah s.a de c.v,guinope el paraíso,Instituto Hondureño del Café,2016,"April 6th, 2017",Bismarck Castro,Caturra,Natural / Dry,7.5,7.5,7.25,7.33,7.42,7.5,10.0,10.0,10.0,82.0,0.1,Green,Instituto Hondureño del Café,1600.0,4,6
796,797,Arabica,ipanema coffees,Brazil,capoeirinha,ipanema coffees,south of minas,Brazil Specialty Coffee Association,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Natural / Dry,7.5,7.33,7.42,7.5,7.33,7.42,10.0,10.0,10.0,82.0,0.11,Green,Brazil Specialty Coffee Association,944.0,4,6
797,798,Arabica,didas,"Tanzania, United Republic Of",family farm,tawoca,kilimanjaro,Africa Fine Coffee Association,2015,"November 16th, 2015",Didas,Other,Washed / Wet,7.67,7.33,7.33,7.42,7.42,7.42,10.0,10.0,10.0,82.0,0.13,Green,Africa Fine Coffee Association,1650.0,9,6
798,799,Arabica,minwook ku,Laos,club green,kettles coffee roasters,lao p.d.r.,Specialty Coffee Institute of Asia,2015,"November 5th, 2015",Minwook Ku,Other,Washed / Wet,7.42,7.5,7.25,7.33,7.5,7.5,10.0,10.0,10.0,82.0,0.12,Blue-Green,Specialty Coffee Institute of Asia,1250.0,4,6
799,800,Arabica,finca estate,"Tanzania, United Republic Of",finca estate,finca estate,meru,Africa Fine Coffee Association,2014,"December 18th, 2014",Finca Estate,Other,Washed / Wet,7.42,7.42,7.33,7.58,7.33,7.42,10.0,10.0,10.0,82.0,0.12,Green,Africa Fine Coffee Association,1350.0,10,6
800,801,Arabica,afca,Malawi,chikali,mzuzu coffee planters coop union,mzuzu,Africa Fine Coffee Association,2014,"October 31st, 2014",AFCA,Gesha,Washed / Wet,7.5,7.42,7.33,7.58,7.33,7.5,10.0,10.0,10.0,82.0,0.13,Bluish-Green,Africa Fine Coffee Association,2500.0,10,6
801,802,Arabica,"lin, che-hao krude 林哲豪",Taiwan,"you siang coffee farmtainan, taiwan 台灣台南優香咖啡","red on tree co., ltd.","dongshan dist., tainan city 臺南市東山區",Specialty Coffee Association,2013,"July 22nd, 2014","Lin, Che-Hao Krude 林哲豪",Typica,Washed / Wet,7.33,7.5,7.17,7.42,7.5,7.33,10.0,10.0,10.0,82.0,0.09,Green,Specialty Coffee Association,600.0,4,6
802,803,Arabica,doi tung development project,Thailand,,doi tung development project,thailand,Specialty Coffee Association,2013,"June 20th, 2014",Doi Tung Development Project,Other,Washed / Wet,7.58,7.5,7.42,7.42,7.33,7.42,10.0,10.0,10.0,82.0,0.11,Green,Specialty Coffee Association,800.0,4,6
803,804,Arabica,eric thormaehlen,Costa Rica,various,coricafe s.a.,central valley,Specialty Coffee Association of Costa Rica,2013,"June 9th, 2014",Eric Thormaehlen,Catuai,Washed / Wet,7.5,7.25,7.33,7.33,7.75,7.5,10.0,10.0,10.0,82.0,0.1,Green,Specialty Coffee Association of Costa Rica,1300.0,10,0
804,805,Arabica,beneficio santa rosa,Honduras,bsr,beneficio santa rosa s.a.,occidental,Instituto Hondureño del Café,2014,"April 30th, 2014",Beneficio Santa Rosa,Caturra,Washed / Wet,7.33,7.33,7.33,7.5,7.5,7.83,10.0,10.0,10.0,82.0,0.11,Green,Instituto Hondureño del Café,1400.0,4,6
805,806,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,huila,Almacafé,2013,"September 13th, 2013",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.33,7.33,7.58,7.5,7.5,7.58,10.0,10.0,10.0,82.0,0.11,Green,Almacafé,1900.0,2,0
806,807,Arabica,"lin, che-hao krude 林哲豪",Taiwan,gao chun fang 高醇坊,"red on tree co., ltd.","dongshan dist., tainan city 臺南市東山區",Specialty Coffee Association,2012,"June 3rd, 2013","Lin, Che-Hao Krude 林哲豪",Typica,Washed / Wet,7.42,7.58,7.33,7.42,8.0,7.5,9.33,10.0,10.0,82.0,0.12,Bluish-Green,Specialty Coffee Association,650.0,2,0
807,808,Arabica,owen carver,Brazil,café do paraíso,café do paraíso,"minas gerais, br",Specialty Coffee Association,2012,"May 21st, 2013",Owen Carver,Mundo Novo,Natural / Dry,7.33,7.67,7.42,7.17,7.33,7.42,10.0,10.0,10.0,82.0,0.11,Blue-Green,Specialty Coffee Association,1038.5,4,6
808,809,Arabica,jorge octavio escamilla prado,Mexico,la ceiba,,coscomatepec,AMECAFE,2012,"July 11th, 2012",JORGE OCTAVIO ESCAMILLA PRADO,Typica,Washed / Wet,7.67,7.33,7.25,7.5,7.42,7.42,10.0,10.0,10.0,82.0,0.12,Green,AMECAFE,940.0,10,6
809,810,Arabica,nucoffee,Brazil,campo das flores,nucoffee,south of minas,NUCOFFEE,2012,"June 4th, 2012",NUCOFFEE,Mundo Novo,Natural / Dry,7.42,7.5,7.33,7.5,7.33,7.5,10.0,10.0,10.0,82.0,0.12,Green,NUCOFFEE,1000.0,10,6
810,811,Arabica,nucoffee,Brazil,são josé da lagoa,nucoffee,cerrado,NUCOFFEE,2012,"April 11th, 2012",NUCOFFEE,Catuai,Semi-washed / Semi-pulped,7.42,7.5,7.25,7.5,7.5,7.42,10.0,10.0,10.0,82.0,0.11,Blue-Green,NUCOFFEE,1050.0,4,6
811,812,Arabica,juan luis alvarado romero,Guatemala,el faro,"elfasa, s.a.",san marcos,Asociacion Nacional Del Café,2012,"March 26th, 2012",Juan Luis Alvarado Romero,Bourbon,Natural / Dry,7.33,7.33,7.33,7.5,7.67,7.67,10.0,10.0,10.0,82.0,0.11,Green,Asociacion Nacional Del Café,0.0,2,0
812,813,Arabica,nucoffee,Brazil,santa mariana/são vicente,nucoffee,south of minas,NUCOFFEE,2012,"February 17th, 2012",NUCOFFEE,Mundo Novo,Semi-washed / Semi-pulped,7.58,7.5,7.17,7.5,7.5,7.42,10.0,10.0,10.0,82.0,0.12,Green,NUCOFFEE,950.0,4,6
813,814,Arabica,felipe isaza,Guatemala,conquista / morito,coffee resources inc.,oriente,Specialty Coffee Association,2012,"February 1st, 2012",Felipe Isaza,Bourbon,Washed / Wet,7.75,7.33,7.33,7.42,7.75,7.67,10.0,10.0,9.33,82.0,0.0,Green,Specialty Coffee Association,1402.08,2,0
814,815,Arabica,racafe & cia s.c.a,Colombia,,,huila,Almacafé,Mayo a Julio,"July 29th, 2011",Racafe & Cia S.C.A,Caturra,Not Specified,7.33,7.0,7.08,7.42,7.5,7.67,10.0,10.0,10.0,82.0,0.07,,Almacafé,1775.0,4,6
815,816,Arabica,juan luis alvarado romero,Guatemala,la esperanza,"unex guatemala, s.a.",oriente,Asociacion Nacional Del Café,2017,"August 22nd, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.58,7.5,7.25,7.58,7.58,7.5,9.33,10.0,10.0,81.92,0.1,Green,Asociacion Nacional Del Café,1901.0,10,0
816,817,Arabica,juan luis alvarado romero,Guatemala,las delicias,"unex guatemala, s.a.",santa rosa,Asociacion Nacional Del Café,2017,"June 22nd, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,81.92,0.11,Green,Asociacion Nacional Del Café,1219.2,10,6
817,818,Arabica,bismarck castro,Honduras,los hicaques,cigrah s.a de c.v,comayagua,Instituto Hondureño del Café,2017,"June 1st, 2017",Bismarck Castro,Caturra,Washed / Wet,7.58,7.5,7.25,7.33,7.42,7.5,10.0,10.0,10.0,81.92,0.12,Green,Instituto Hondureño del Café,1400.0,4,6
818,819,Arabica,gabriel barbara,Brazil,santa bárbara,volcafe ltda.,monte carmelo,Brazil Specialty Coffee Association,2016 / 2017,"October 26th, 2016",Gabriel Barbara,Catuai,Natural / Dry,7.42,7.33,7.33,7.5,7.5,7.33,10.0,10.0,10.0,81.92,0.11,Green,Brazil Specialty Coffee Association,1020.0,4,6
819,820,Arabica,consejo salvadoreño del café,El Salvador,la esperanza,consejo salvadoreño del café,"el balsamo, quezaltepec",Salvadoran Coffee Council,2014,"May 5th, 2015",Consejo Salvadoreño del Café,Bourbon,Washed / Wet,7.67,7.58,7.33,7.5,7.5,7.67,10.0,10.0,9.33,81.92,0.11,Green,Salvadoran Coffee Council,1250.0,2,0
820,821,Arabica,juan luis alvarado romero,Guatemala,las cebollas y anexos,asociación nacional del café - anacafe -,nuevo oriente,Asociacion Nacional Del Café,2015,"April 20th, 2015",Juan Luis Alvarado Romero,Catuai,Washed / Wet,7.58,7.58,7.17,7.83,7.17,7.33,10.0,10.0,10.0,81.92,0.11,Green,Asociacion Nacional Del Café,1550.0,10,6
821,822,Arabica,mcomafa co ltd,"Tanzania, United Republic Of",mcomafa farm no1155gr,mcomafa co. ltd,mbeya,Africa Fine Coffee Association,2014,"January 6th, 2015",Mcomafa Co Ltd,Other,Washed / Wet,7.33,7.33,7.33,7.42,7.5,7.58,10.0,10.0,10.0,81.92,0.12,Green,Africa Fine Coffee Association,1877.0,4,6
822,823,Arabica,chris finch,Nicaragua,,volcafe specialty coffee,,Specialty Coffee Association,2013,"July 29th, 2014",Chris Finch,Other,Washed / Wet,7.58,7.42,7.25,7.17,7.5,7.67,10.0,10.0,10.0,81.92,0.12,Green,Specialty Coffee Association,0.0,4,6
823,824,Arabica,lusso lab,Zambia,mubuyu munali,lusso coffee lab,mubuyu estate,Specialty Coffee Association,2014,"June 20th, 2014",LUSSO LAB,SL28,Washed / Wet,7.67,7.08,7.42,7.33,7.75,7.42,10.0,10.0,10.0,81.92,0.0,,Specialty Coffee Association,1250.0,2,0
824,825,Arabica,rob tuttle,Honduras,,thrive farmers,,Specialty Coffee Association,2012,"January 17th, 2014",Rob Tuttle,Other,Washed / Wet,7.42,7.33,7.33,7.58,7.33,7.5,10.0,10.0,10.0,81.92,0.11,Green,Specialty Coffee Association,0.0,10,6
825,826,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,dragon coffee 龍咖啡,blossom valley宸嶧國際,taichung xinshe 台中市新社區,Blossom Valley International,2012,"December 26th, 2013",CQI Taiwan ICP CQI台灣合作夥伴,Typica,Natural / Experimental,7.5,7.5,7.42,7.25,7.5,7.5,10.0,10.0,10.0,81.92,0.11,Green,Blossom Valley International,1000.0,4,6
826,827,Arabica,calixto guillen vazquez,Mexico,various,"finca triunfo verde, s.c.",chiapas,AMECAFE,2013,"March 29th, 2013",CALIXTO GUILLEN VAZQUEZ,Bourbon,Washed / Wet,7.58,7.5,7.25,7.58,7.5,7.25,10.0,10.0,10.0,81.92,0.12,Green,AMECAFE,1300.0,10,0
827,828,Arabica,saul m. hernandez ramirez,Mexico,platanal,,"chapulhuacan, hidalgo",AMECAFE,2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.25,7.25,7.5,7.5,10.0,10.0,10.0,81.92,0.13,,AMECAFE,981.0,4,6
828,829,Arabica,saul m. hernandez ramirez,Mexico,texpanco,,"huazalingo, hidalgo",AMECAFE,2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Mundo Novo,Washed / Wet,7.5,7.42,7.25,7.5,7.33,7.33,10.0,10.0,10.0,81.92,0.14,,AMECAFE,690.0,10,6
829,830,Arabica,juan hermilio sampieri carcamo,Mexico,la laja,,veracruz,AMECAFE,2012,"July 11th, 2012",JUAN HERMILIO SAMPIERI CARCAMO,Other,Washed / Wet,7.33,7.58,7.17,7.58,7.42,7.33,10.0,10.0,10.0,81.92,0.12,Green,AMECAFE,1650.0,10,6
830,831,Arabica,modesto landeros flores,Mexico,mata larga,,fortín de las flores,AMECAFE,2012,"July 11th, 2012",MODESTO LANDEROS FLORES,Bourbon,Washed / Wet,7.67,7.42,7.33,7.83,7.5,7.5,9.33,10.0,10.0,81.92,0.12,Green,AMECAFE,1000.0,9,0
831,832,Arabica,nucoffee,Brazil,sitío corrego da olaria/são caetano,nucoffee,grama valley,NUCOFFEE,2012,"February 29th, 2012",NUCOFFEE,Mundo Novo,Natural / Dry,7.42,7.58,7.25,7.5,7.33,7.5,10.0,10.0,10.0,81.92,0.12,Green,NUCOFFEE,1100.0,10,6
832,833,Arabica,exportadora de cafe condor s.a,Colombia,,,cundinamarca,Almacafé,4T/2010,"February 1st, 2011",Exportadora de Cafe Condor S.A,Other,Not Specified,7.67,7.33,7.33,7.58,7.33,7.33,10.0,10.0,10.0,81.92,0.09,,Almacafé,1600.0,9,6
833,834,Arabica,juan luis alvarado romero,Guatemala,la esmeralda,"unex guatemala, s.a.",oriente,Asociacion Nacional Del Café,2017,"August 22nd, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.42,7.5,7.25,7.5,7.33,7.42,10.0,10.0,10.0,81.83,0.1,Green,Asociacion Nacional Del Café,157.8864,10,6
834,835,Arabica,troy quimby,Costa Rica,estate la patricia,bold coast coffee,tarrazu,Specialty Coffee Association,2016,"February 13th, 2017",Troy Quimby,Catuai,Pulped natural / Honey,7.25,7.33,7.5,7.33,7.67,7.42,10.0,10.0,10.0,81.83,0.0,Green,Specialty Coffee Association,1900.0,2,6
835,836,Arabica,gabriel barbara,Brazil,helena,volcafe ltda.,monte carmelo,Brazil Specialty Coffee Association,2016,"January 20th, 2017",Gabriel Barbara,Mundo Novo,Natural / Dry,7.42,7.5,7.42,7.5,7.42,7.25,10.0,10.0,10.0,81.83,0.11,Green,Brazil Specialty Coffee Association,973.0,10,6
836,837,Arabica,aulia arif syahri,Indonesia,mudar,pt. olam indonesia,bali,Specialty Coffee Association,2015,"January 19th, 2017",Aulia Arif Syahri,Other,Natural / Experimental,7.75,7.83,7.58,7.75,7.92,7.83,10.0,10.0,10.0,81.83,0.11,Green,Specialty Coffee Association,1250.0,6,4
837,838,Arabica,juan luis alvarado romero,Guatemala,chapultepec,"unex guatemala, s.a.",norte,Asociacion Nacional Del Café,2015,"August 2nd, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.58,7.5,7.33,7.42,7.58,7.25,10.0,10.0,10.0,81.83,0.1,Green,Asociacion Nacional Del Café,3280.0,10,0
838,839,Arabica,ipanema coffees,Brazil,rio verde,ipanema coffees,south of minas,Brazil Specialty Coffee Association,2015/2016,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.17,7.58,6.83,7.5,7.75,7.25,10.0,10.0,10.0,81.83,0.0,Green,Brazil Specialty Coffee Association,1.0,0,1
839,840,Arabica,ipanema coffees,Brazil,rio verde,ipanema coffees,south of minas,Brazil Specialty Coffee Association,2015/2016,"October 8th, 2015",Ipanema Coffees,Yellow Bourbon,Natural / Dry,7.58,7.0,6.92,6.92,7.67,7.5,10.0,10.0,10.0,81.83,0.0,Green,Brazil Specialty Coffee Association,1.0,4,1
840,841,Arabica,u mg mg,Myanmar,wat-ka-bu,,ywar ngan,Coffee Quality Institute,2015,"July 17th, 2015",U Mg Mg,Catuai,Washed / Wet,7.33,7.58,7.5,7.42,7.33,7.33,10.0,10.0,10.0,81.83,0.0,Green,Coffee Quality Institute,1220.0,4,6
841,842,Arabica,viridiana,Mexico,rancho bonito,agroindustrias unidas de mexico sa de cv,chiapas,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,2015,"June 25th, 2015",VIRIDIANA,Catuai,Washed / Wet,7.58,7.5,7.33,7.5,7.17,7.33,10.0,10.0,10.0,81.83,0.11,Green,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,1425.0,4,6
842,843,Arabica,cadexsa,Honduras,cerro bueno,cadexsa,marcala,Instituto Hondureño del Café,2015,"May 12th, 2015",CADEXSA,Catuai,Washed / Wet,7.5,7.5,7.33,7.5,7.42,7.25,10.0,10.0,10.0,81.83,0.12,Green,Instituto Hondureño del Café,1400.0,10,6
843,844,Arabica,"cafetalera internacional cafinter, s.a.",Costa Rica,el patalillo,"cafetalera internacional cafinter, s.a.",tres rios,Specialty Coffee Association of Costa Rica,2015,"May 7th, 2015","CAFETALERA INTERNACIONAL CAFINTER, S.A.",Caturra,Washed / Wet,7.67,7.5,7.5,7.25,7.08,7.42,10.0,10.0,10.0,81.83,0.09,Green,Specialty Coffee Association of Costa Rica,1300.0,4,6
844,845,Arabica,"lin, che-hao krude 林哲豪",Taiwan,gao chun fang 高醇坊,taiwan coffee laboratory,"dongshan dist., tainan city 臺南市東山區",Specialty Coffee Association,2014,"April 30th, 2015","Lin, Che-Hao Krude 林哲豪",Typica,Washed / Wet,7.67,7.33,7.17,7.25,7.75,7.33,10.0,10.0,10.0,81.83,0.0,Green,Specialty Coffee Association,700.0,10,0
845,846,Arabica,essencecoffee,Indonesia,dozen small farmer,essence coffee,lington nihuta,Blossom Valley International,2014,"March 21st, 2015",EssenceCoffee,Typica,Natural / Experimental,7.42,7.42,7.42,7.33,7.42,7.42,10.0,10.0,10.0,81.83,0.11,,Blossom Valley International,1300.0,4,6
846,847,Arabica,afca,Malawi,kakoma,mzuzu coffee planters coop union,kakoma,Africa Fine Coffee Association,2014,"October 31st, 2014",AFCA,Gesha,Washed / Wet,7.58,7.42,7.33,7.33,7.33,7.42,10.0,10.0,10.0,81.83,0.13,Green,Africa Fine Coffee Association,1556.0,4,6
847,848,Arabica,ipanema coffees,Brazil,rio verde,ipanema coffees,south of minas,Specialty Coffee Association,2014/2015,"October 15th, 2014",Ipanema Coffees,Bourbon,Natural / Dry,7.33,7.58,7.25,7.17,7.83,7.33,10.0,10.0,10.0,81.83,0.11,Green,Specialty Coffee Association,1100.0,4,6
848,849,Arabica,,Honduras,gran manzana y el aguacate,cigrah,comayagua,Instituto Hondureño del Café,2014,"May 16th, 2014",,Caturra,Natural / Dry,7.5,7.5,7.33,7.33,7.33,7.33,10.0,10.0,10.0,81.83,0.1,Green,Instituto Hondureño del Café,1350.0,4,6
849,850,Arabica,kurt kappeli,Mexico,various,globus coffee,"siltepec el triunfo, chiapas, mexico",Specialty Coffee Association,2014,"April 26th, 2014",Kurt Kappeli,Typica,Washed / Wet,7.42,7.42,7.25,7.5,7.33,7.42,10.0,10.0,10.0,81.83,0.11,Green,Specialty Coffee Association,1550.0,10,6
850,851,Arabica,racafe & cia s.c.a,Colombia,,racafe & cia s.c.a,huila,Almacafé,2013,"July 19th, 2013",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.5,7.5,7.0,7.42,7.5,7.58,10.0,10.0,10.0,81.83,0.0,Bluish-Green,Almacafé,1775.0,4,6
851,852,Arabica,kona pacific farmers cooperative,United States (Hawaii),,kona pacific farmers cooperative,kona,Specialty Coffee Association,2012,"March 6th, 2013",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.83,7.83,7.83,8.0,7.83,7.83,10.0,6.67,10.0,81.83,0.0,Bluish-Green,Specialty Coffee Association,0.0,6,4
852,853,Arabica,jacques pereira carneiro,Brazil,sertao farm,exportadora de cafés carmo de minas ltda,sul de minas,Specialty Coffee Association,2012,"March 2nd, 2013",Jacques Pereira Carneiro,Bourbon,Semi-washed / Semi-pulped,7.75,7.75,7.5,7.42,7.83,7.75,9.33,9.33,9.33,81.83,0.12,Bluish-Green,Specialty Coffee Association,1250.0,2,0
853,854,Arabica,juan luis alvarado romero,Guatemala,el sacramento,"unex guatemala, s.a.",oriente,Asociacion Nacional Del Café,2013,"February 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.83,7.67,7.33,7.33,7.67,7.83,9.33,10.0,9.33,81.83,0.11,Green,Asociacion Nacional Del Café,1310.64,2,0
854,855,Arabica,christina dusing,Mexico,finca muxbal,,veracruz,AMECAFE,2012,"August 31st, 2012",CHRISTINA DUSING,Bourbon,Washed / Wet,7.83,7.33,7.25,7.58,7.25,7.33,10.0,10.0,10.0,81.83,0.12,Green,AMECAFE,1500.0,9,6
855,856,Arabica,jorge francisco martinez hachity,Mexico,el deseo,,coatepec,AMECAFE,2012,"July 11th, 2012",JORGE FRANCISCO MARTINEZ HACHITY,Typica,Semi-washed / Semi-pulped,7.33,7.33,7.25,7.5,7.5,7.5,10.0,10.0,10.0,81.83,0.12,Green,AMECAFE,1250.0,4,6
856,857,Arabica,nucoffee,Brazil,cianorte,,cerrado,NUCOFFEE,2011,"October 28th, 2011",NUCOFFEE,Mundo Novo,Not Specified,7.33,7.67,7.25,7.5,7.5,7.25,10.0,10.0,10.0,81.83,0.02,,NUCOFFEE,925.0,4,6
857,858,Arabica,exportadora de cafe condor s.a,Colombia,,,huila,Almacafé,1t/2011,"June 14th, 2011",Exportadora de Cafe Condor S.A,Other,Not Specified,7.58,7.5,7.17,7.58,7.33,7.33,10.0,10.0,10.0,81.83,0.05,,Almacafé,1700.0,10,6
858,859,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,kona,Specialty Coffee Association,,"May 24th, 2010",Kona Pacific Farmers Cooperative,Other,Not Specified,7.25,7.58,7.83,7.67,7.75,7.75,9.33,9.33,10.0,81.83,0.02,,Specialty Coffee Association,0.0,2,0
859,860,Arabica,juan luis alvarado romero,Guatemala,las merceditas,"unex guatemala, s.a.",san marcos,Asociacion Nacional Del Café,2017,"June 22nd, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.5,7.5,7.25,7.42,7.42,7.33,10.0,10.0,10.0,81.75,0.11,Green,Asociacion Nacional Del Café,1700.0,10,6
860,861,Arabica,"sunvirtue co., ltd.",Vietnam,apollo estate,"sunvirtue co., ltd.",vietnam,Specialty Coffee Association,2014,"December 21st, 2015","Sunvirtue Co., Ltd.",Caturra,Washed / Wet,7.0,7.08,7.33,7.5,7.5,7.33,10.0,10.0,10.0,81.75,0.12,Bluish-Green,Specialty Coffee Association,1040.0,4,6
861,862,Arabica,ngorogoro convenant estate,"Tanzania, United Republic Of",ngorogoro convenant estate,ngorogoro convenant estate,ngorogoro,Africa Fine Coffee Association,2014,"January 8th, 2015",Ngorogoro Convenant Estate,Other,Washed / Wet,7.42,7.42,7.42,7.42,7.33,7.33,10.0,10.0,10.0,81.75,0.12,Bluish-Green,Africa Fine Coffee Association,1600.0,4,6
862,863,Arabica,cafe politico,Brazil,,cafe politico,,Specialty Coffee Association,2013,"August 25th, 2014",Cafe Politico,Other,Natural / Dry,7.17,7.25,7.17,7.25,7.42,8.25,10.0,10.0,10.0,81.75,0.1,Bluish-Green,Specialty Coffee Association,0.0,0,1
863,864,Arabica,saul m. hernandez ramirez,Mexico,los magueyes,,"tenango de doria, hidalgo",AMECAFE,2012,"September 27th, 2012",SAUL M. HERNANDEZ RAMIREZ,Bourbon,Washed / Wet,7.5,7.5,7.33,7.42,7.25,7.25,10.0,10.0,10.0,81.75,0.13,,AMECAFE,774.0,4,6
864,865,Arabica,sergio landa alarcon,Mexico,finca tepictla,,tepictla,AMECAFE,2012,"September 10th, 2012",SERGIO LANDA ALARCON,Mundo Novo,Washed / Wet,7.42,7.5,7.17,7.67,7.33,7.42,10.0,10.0,10.0,81.75,0.13,Green,AMECAFE,1250.0,10,6
865,866,Arabica,diego manuel woolrich ramirez,Mexico,"arroyo triste, arroyo triste, san jose vista hermosa",,oaxaca,AMECAFE,2012,"September 4th, 2012",DIEGO MANUEL WOOLRICH RAMIREZ,Typica,Washed / Wet,7.42,7.5,7.33,7.58,7.33,7.33,10.0,10.0,10.0,81.75,0.11,Green,AMECAFE,1100.0,10,6
866,867,Arabica,armando luis pohlenz martinez,Mexico,,beneficio custepec s.a. de c.v.,la concordia,AMECAFE,2012,"August 30th, 2012",ARMANDO LUIS POHLENZ MARTINEZ,Caturra,Washed / Wet,7.33,7.42,7.33,7.67,7.42,7.25,10.0,10.0,10.0,81.75,0.12,Green,AMECAFE,1550.0,10,6
867,868,Arabica,enrique eduardo lopez aguilar,Mexico,santa cruz - pante doña graciela,finca las nubes,la concordia,AMECAFE,2012,"June 6th, 2012",Enrique Eduardo Lopez Aguilar,Typica,Washed / Wet,7.5,7.42,7.25,7.33,7.67,7.25,10.0,10.0,10.0,81.75,0.12,,AMECAFE,1650.0,10,6
868,869,Arabica,exportadora de cafe condor s.a,Colombia,,exportadora de cafe condor s.a,huila,Almacafé,2011,"December 22nd, 2011",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.33,7.42,7.33,7.33,7.5,7.67,10.0,10.0,10.0,81.75,0.0,Green,Almacafé,1750.0,4,6
869,870,Arabica,racafe & cia s.c.a,Colombia,,,huila,Almacafé,Mayo a Julio,"October 4th, 2011",Racafe & Cia S.C.A,Other,Not Specified,7.42,7.58,6.92,7.08,7.25,8.0,10.0,10.0,10.0,81.75,0.08,,Almacafé,1775.0,0,1
870,871,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,ipanema coffees,south of minas,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.42,7.5,7.25,7.5,7.5,7.25,10.0,10.0,10.0,81.67,0.11,Green,Brazil Specialty Coffee Association,890.0,4,6
871,872,Arabica,juan luis alvarado romero,Guatemala,las merceditas,"unex guatemala, s.a.",san marcos,Asociacion Nacional Del Café,2017,"August 22nd, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.42,7.42,7.08,7.42,7.33,7.42,10.0,10.0,10.0,81.67,0.1,Green,Asociacion Nacional Del Café,1700.0,4,6
872,873,Arabica,juan luis alvarado romero,Guatemala,la esmeralda,"unex guatemala, s.a.",santa rosa,Asociacion Nacional Del Café,2017,"June 5th, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.42,7.33,7.17,7.67,7.33,7.42,10.0,10.0,10.0,81.67,0.12,Green,Asociacion Nacional Del Café,1219.2,10,6
